#####################################################################
#                 NEPTUNE Txys interpolation data                   #
#####################################################################
#	      MJD           x                   y                s
        42521.5 -0.002372097460795 -0.25136752229D-04 -0.17644533D-07
        42522.0 -0.002371972048920 -0.25085585256D-04 -0.17585429D-07
        42522.5 -0.002371870980435 -0.25034107678D-04 -0.17525622D-07
        42523.0 -0.002371794512224 -0.24989430503D-04 -0.17473552D-07
        42523.5 -0.002371741120532 -0.24958656091D-04 -0.17437673D-07
        42524.0 -0.002371707465425 -0.24948321902D-04 -0.17425795D-07
        42524.5 -0.002371688521629 -0.24963821053D-04 -0.17444387D-07
        42525.0 -0.002371677892376 -0.25008864367D-04 -0.17497936D-07
        42525.5 -0.002371668297230 -0.25085058764D-04 -0.17588440D-07
        42526.0 -0.002371652193631 -0.25191673376D-04 -0.17715122D-07
        42526.5 -0.002371622462178 -0.25325644584D-04 -0.17874430D-07
        42527.0 -0.002371573066244 -0.25481835801D-04 -0.18060340D-07
        42527.5 -0.002371499594332 -0.25653524812D-04 -0.18264927D-07
        42528.0 -0.002371399611059 -0.25833051483D-04 -0.18479136D-07
        42528.5 -0.002371272776225 -0.26012532465D-04 -0.18693623D-07
        42529.0 -0.002371120732523 -0.26184543645D-04 -0.18899572D-07
        42529.5 -0.002370946800409 -0.26342685916D-04 -0.19089362D-07
        42530.0 -0.002370755544612 -0.26481979544D-04 -0.19257039D-07
        42530.5 -0.002370552286141 -0.26599067925D-04 -0.19398562D-07
        42531.0 -0.002370342627259 -0.26692243652D-04 -0.19511837D-07
        42531.5 -0.002370132039581 -0.26761332293D-04 -0.19596585D-07
        42532.0 -0.002369925543734 -0.26807479920D-04 -0.19654093D-07
        42532.5 -0.002369727488713 -0.26832890435D-04 -0.19686911D-07
        42533.0 -0.002369541423825 -0.26840551461D-04 -0.19698525D-07
        42533.5 -0.002369370046996 -0.26833976688D-04 -0.19693059D-07
        42534.0 -0.002369215209705 -0.26816981123D-04 -0.19675007D-07
        42534.5 -0.002369077959234 -0.26793495759D-04 -0.19649018D-07
        42535.0 -0.002368958601860 -0.26767420880D-04 -0.19619712D-07
        42535.5 -0.002368856774499 -0.26742512744D-04 -0.19591551D-07
        42536.0 -0.002368771516473 -0.26722296482D-04 -0.19568732D-07
        42536.5 -0.002368701336720 -0.26709997829D-04 -0.19555101D-07
        42537.0 -0.002368644274829 -0.26708487010D-04 -0.19554085D-07
        42537.5 -0.002368597956625 -0.26720229001D-04 -0.19568636D-07
        42538.0 -0.002368559646908 -0.26747235396D-04 -0.19601167D-07
        42538.5 -0.002368526303302 -0.26791014470D-04 -0.19653498D-07
        42539.0 -0.002368494636130 -0.26852518012D-04 -0.19726792D-07
        42539.5 -0.002368461179473 -0.26932086113D-04 -0.19821488D-07
